ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
RNA polymerase II holoenzyme complex	O15514;P13984;P18074;P19387;P19388;P19447;P20226;P24928;P29083;P29084;P30876;P32780;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q13888;Q13889;Q92759	5433;2963;2068;5432;5434;2071;6908;5430;2960;2961;5431;2965;2962;5438;5437;5439;5440;5435;5436;5441;2959;2966;2967;2968	"transcription, DNA-templated;DNA binding;nucleus"	TRANSCRIPTION;DNA binding;nucleus	POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4	None	None	None
RNA polymerase II core complex	O15514;P19387;P19388;P24928;P30876;P36954;P52434;P52435;P53803;P61218;P62487;P62875	5433;5432;5434;5430;5431;5438;5437;5439;5440;5435;5436;5441	"transcription, DNA-templated;DNA binding;nucleus"	TRANSCRIPTION;DNA binding;nucleus	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L	None	None	None
Polycomb repressive complex 2 (PRC 2)	O75530;Q09028;Q15022;Q15910;Q16576	8726;5928;23512;2146;5931	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	EED;RBBP4;SUZ12;EZH2;RBBP7	None	"Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. They are methylating histones at lysine residues. PRC4 methylates preferentially the histone H1b isoform, whereas PRC2 methylated preferentially the histone H1d isoform. The PRC3 complex exclusively targets methylation of histone H3-K27, and the activity is repressed in the presence of histone H1. PRC2 also methylates histone H3-K27 but in the presence of histone H1, PRC2 methylates both H3-K27 and H1-K26."	"PRC complexes are overexpressed in breast, colon, and prostate cancers."
TFIIH transcription factor complex	P18074;P19447;P32780;P50613;P51946;P51948;Q13888;Q13889;Q92759	2068;2071;2965;1022;902;4331;2966;2967;2968	"DNA repair;cell cycle;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus;ATPase activity;kinase activity;phosphorylation of RNA polymerase II C-terminal domain"	DNA repair;cell cycle;transcriptional control;nucleus	ERCC2;ERCC3;GTF2H1;CDK7;CCNH;MNAT1;GTF2H2;GTF2H3;GTF2H4	None	Transcription factor IIH (TFIIH) is a multisubunit complex required for transcription and for DNA nucleotide excision repair.	None
Prefoldin complex	O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9	10471;5201;7411;5204;5203;5202	protein stabilization;protein folding;cytoskeleton organization;actin cytoskeleton organization	protein folding and stabilization;cytoskeleton/structural proteins;actin cytoskeleton	PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2	None	The biogenesis of the cytoskeletal proteins actin and tubulin involves interaction of nascent chains of each of the two proteins with the oligomeric protein prefoldin(PFD) and their subsequent transfer to the cytosolic chaperonin CCT (chaperonin containing TCP-1). PFD exists as a more complex oligomer assembled from six different proteins.	None
SNAPc (small nuclear RNA-activating protein) complex	O75971;Q13487;Q16533;Q5SXM2;Q92966	10302;6618;6617;6621;6619	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding;DNA binding;nucleus"	transcriptional control;protein binding;DNA binding;nucleus	SNAPC5;SNAPC2;SNAPC1;SNAPC4;SNAPC3	None	Additional information about the constituents of the SNAPc complex is given in PMID:7715707 and PMID:9732265.	None
"Polycomb repressive complex 1 (PRC1, hPRC-H)"	O00257;O60264;P0DMV8;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52	8535;8467;3303;648;1911;6015;84733;1912;80012;22955;6045;57332	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	CBX4;SMARCA5;HSPA1A;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8	"Since the authors did not specify HSP70, we used isoform HSPA1A."	"Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the M33F and Bmi1F M2 eluates. The identified beta-tubulin may be a contaminant, it needs more characterization."	None
"Polycomb repressive complex 1 (PRC1, hPRC-H)"	O00257;O60264;P0DMV8;P25490;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52	8535;8467;3303;7528;648;1911;6015;84733;1912;80012;22955;6045;57332	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	CBX4;SMARCA5;HSPA1A;YY1;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8	"Since the authors did not specify HSP70, we used isoform HSPA1A"	"Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the Hi-Trap S eluate. The identified beta-tubulin may be a contaminant, it needs more characterization."	None
GPR56-CD81-Galpha(q/11)-Gbeta complex	P29992;P50148;P60033;P62873;Q9Y653	2767;2776;975;2782;9289	None	None	GNA11;GNAQ;CD81;GNB1;ADGRG1	"The Gbeta peptide identified by mass spectrometry is a sequence common to beta subunits 1-4, and the anti-Gbeta antiserum recognizes all four subunits. Since the authors did not specify Gbeta peptide, we used isoform GNB1."	The central role of CD81 (and CD9 when present) suggests possible scaffolding functions for CD81 and CD9 in GPR56 signaling.	None
GPI-GnT activity complex	P37287;Q14442;Q92535;Q9BRB3	5277;5283;5279;9091	phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;endoplasmic reticulum	phospholipid metabolism;endoplasmic reticulum	PIGA;PIGH;PIGC;PIGQ	None	This protein complex has GPI-GlcNAc transferase (GPI-GnT) activity in vitro.	None
Lymphotoxin beta receptor complex	P01374;P36941;Q06643	4049;4055;4050	cell surface receptor signaling pathway;apoptotic process	transmembrane signal transduction;apoptosis (type I programmed cell death)	LTA;LTBR;LTB	None	"The binding of heterotrimeric lymphotoxin, LT alpha1 beta2, to the LTbeta receptor (LTbeta R), a member of the tumor necrosis factor receptor (TNFR) superfamily, induces nuclear factor kappaB (NF-kappaB) activation and cell death in HT29 adenocarcinoma cells."	None
Rnase/Mrp complex	O75817;O75818;O95059;O95707;P78345;P78346;Q969H6;Q99575;Q9BUL9;Q9H633	10248;10799;11102;10775;10557;10556;51367;10940;54913;79897	RNA catabolic process;rRNA processing;RNA binding;nucleus	RNA degradation;rRNA processing;RNA binding;nucleus	POP7;RPP40;RPP14;POP4;RPP38;RPP30;POP5;POP1;RPP25;RPP21	None	RNase MRP is involved in the processing of pre-rRNA and the generation of RNA primers for mitochondrial DNA replication.	None
CCT complex (chaperonin containing TCP1 complex)	P17987;P40227;P48643;P49368;P50990;P50991;P78371;Q99832	6950;908;22948;7203;10694;10575;10576;10574	protein stabilization;protein folding;ATP binding;cytoplasm	protein folding and stabilization;ATP binding;cytoplasm	TCP1;CCT6A;CCT5;CCT3;CCT8;CCT4;CCT2;CCT7	None	"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT."	None
NDC80 kinetochore complex	O14777;Q8NBT2;Q9BZD4;Q9HBM1	10403;147841;83540;57405	"mitotic cell cycle;chromosome segregation;chromosome, centromeric region"	mitotic cell cycle;chromosome segregation/division;centromere / kinetochore	NDC80;SPC24;NUF2;SPC25	None	"Components of the conserved NDC80 complex are required for chromosome congression, and their disruption results in mitotic arrest accompanied by multiple spindle aberrations. hSPC25 is an essential kinetochore component that plays a significant role in proper execution of mitotic events."	None
PIDDsome complex	P42575;P78560;Q9HB75	835;8738;55367	activation of cysteine-type endopeptidase activity involved in apoptotic process;apoptotic process	caspase activation;apoptosis (type I programmed cell death)	CASP2;CRADD;PIDD1	None	None	PIDDsome is involved in caspase-2 dependent TSA-induced cell death in prostate cancer cell lines (PMID:17110788).
Telomere-associated protein complex	P54274;Q15554;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0	7013;7014;65057;26277;25913;54386	DNA binding;chromosome organization;nucleus;telomere maintenance	DNA binding;organization of chromosome structure;nucleus	TERF1;TERF2;ACD;TINF2;POT1;TERF2IP	None	"TIN2 binds TRF2 directly, thereby tethering TRF2 to the TRF1 complex. This complex is responsible for telomere maintenance."	None
E-box sequence-binding complex	P25791;Q02577;Q86U70;Q9BXY8	4005;4808;8861;None	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;neurogenesis;generation of neurons;nucleus"	transcriptional control;neurogenesis;nucleus	LMO2;NHLH2;LDB1;BEX2	None	This complex may help to understand the molecular mechanisms by which hBex2 plays a role in transcriptional regulation in the brain during neurodevelopment.	None
CD147-gamma-secretase complex	P35613;P49768;Q92542;Q96BI3;Q9NZ42	682;5663;23385;51107;55851	protein processing;signaling;plasma membrane;Golgi apparatus	protein processing (proteolytic);cellular signalling;eukaryotic plasma membrane / membrane attached;Golgi	BSG;PSEN1;NCSTN;APH1A;PSENEN	None	CD147 in gamma-secretase complex down-modulates the production of amyloid beta-peptides.	None
APP-APBB1-LRP1 complex	O00213;P05067;Q07954	322;351;4035	protein processing	protein processing (proteolytic)	APBB1;APP;LRP1	None	None	None
Gamma-BAR-AP1 complex	O43747;O75843;P56377;P61966;Q10567;Q63HQ0;Q96PC3;Q9BXS5;Q9Y6Q5	164;8906;8905;1174;162;55435;130340;8907;10053	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2	None	The isolation of AP1 adaptor complex was described in PMID:9733768.	None
PBAF complex (Polybromo- and BAF containing complex)	O96019;P51532;P60709;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q969G3;Q96GM5	86;6597;60;6598;196528;55193;6601;6599;6605;6602	None	None	ACTL6A;SMARCA4;ACTB;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1	"Since the authors did not specify Actin as well as Actin-like protein 6, we used isoform ACTB and isoform ACTL6A, respectively. At the time of annotation, the additional member BAF240 of the protein complex was not found in the UniProt database."	None	None
TFIIE complex	P29083;P29084	2960;2961	"DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	transcription initiation;transcriptional control;nucleus	GTF2E1;GTF2E2	None	None	None
TFIIF complex (transcription factor IIF)	P13984;P35269	2963;2962	"DNA-templated transcription, initiation;magnesium ion binding;ATP binding;nucleus"	transcription initiation;magnesium binding;ATP binding;nucleus	GTF2F2;GTF2F1	None	TFIIF facilitates activator-dependent transcription initiation on chromatin templates.	None
TFIID complex	O00268;P20226;P21675;P49848;Q12962;Q15542;Q15544;Q16594;Q6P1X5	6874;6908;6872;6878;6881;6877;6882;6880;6873	"DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcription initiation;transcriptional control;DNA binding;nucleus	TAF4;TBP;TAF1;TAF6;TAF10;TAF5;TAF11;TAF9;TAF2	None	None	None
Retrotranslocation complex	P57678;Q86TM6;Q9BUN8	50628;84447;79139	protein transport;protein transporter activity	protein transport	GEMIN4;SYVN1;DERL1	None	None	None
Condensin I complex	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;23397;9918;64151;10051	mitotic cell cycle;chromosome condensation;chromosome organization;nucleus	mitotic cell cycle;chromosome condensation;organization of chromosome structure;nucleus	SMC2;NCAPH;NCAPD2;NCAPG;SMC4	None	None	None
Condensin I-PARP-1-XRCC1 complex	O95347;P09874;P18887;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;142;7515;23397;9918;64151;10051	DNA repair;cellular response to DNA damage stimulus;nucleus	DNA repair;DNA damage response;nucleus	SMC2;PARP1;XRCC1;NCAPH;NCAPD2;NCAPG;SMC4	None	The association between PARP-1 and XRCC1 was enhanced in response to DNA damage.	None
Condensin II	O95347;P42695;Q6IBW4;Q86XI2;Q9NTJ3	10592;23310;29781;54892;10051	mitotic cell cycle;chromosome condensation;chromosome organization;nucleus	mitotic cell cycle;chromosome condensation;organization of chromosome structure;nucleus	SMC2;NCAPD3;NCAPH2;NCAPG2;SMC4	None	None	None
COG complex	P83436;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7	91949;22796;9382;83548;84342;25839;10466;57511	protein glycosylation;Golgi organization;Golgi apparatus	"modification with sugar residues (e.g. glycosylation, deglycosylation);Golgi;Golgi"	COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6	None	None	"Deficiencies in COG1, COG7, COG8 cause a novel group of Cogenital Disorders of Glycosylation II (PMID:17904886)."
Cohesin-SA2 complex	O60216;Q14683;Q8N3U4;Q9UQE7	5885;8243;10735;9126	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	RAD21;SMC1A;STAG2;SMC3	None	None	None
